activity_id,date,name,distance_km,elapsed_time_s,moving_time_s,avg_speed_m_s,elevation_gain_m,avg_cadence_spm,calories,training_load,intensity,grade_adjusted_distance_km,pace_min_km,pace_sec_km,week
14149371177,2025-04-11 20:35:59,Afternoon Run,4.35,1809,1809.0,2.407,6.0,76.0,302.0,,,4359.5,6.931034482758621,415.86206896551727,2025-04-07/2025-04-13
14154557199,2025-04-12 07:32:28,Morning Run,19.14,7209,7196.0,2.661,41.0,79.0,1331.0,,,19218.0,6.266109369557645,375.9665621734587,2025-04-07/2025-04-13
14178323091,2025-04-14 19:48:12,Afternoon Run,6.79,2897,2704.0,2.512,8.0,74.0,486.0,,,6797.5,6.637211585665194,398.23269513991164,2025-04-14/2025-04-20
14221420719,2025-04-19 08:12:57,Morning Run,25.21,9709,9623.0,2.62,33.0,79.0,1705.0,,,25293.1,6.361893428533651,381.71360571201905,2025-04-14/2025-04-20
14246457775,2025-04-21 20:36:16,Afternoon Run,7.12,2800,2707.0,2.63,13.0,78.0,480.0,,,7120.8,6.336610486891386,380.19662921348316,2025-04-21/2025-04-27
14276177135,2025-04-24 19:11:13,Afternoon Run,11.06,4273,3880.0,2.85,38.0,79.0,755.0,,,11124.9,5.846895720313442,350.8137432188065,2025-04-21/2025-04-27
14289608626,2025-04-26 07:45:40,Morning Run,24.79,9172,9007.0,2.753,81.0,80.0,1661.0,,,24947.2,6.055533145085384,363.331988705123,2025-04-21/2025-04-27
14351934693,2025-05-02 07:56:39,Morning Run,7.08,3011,3011.0,2.354,45.0,78.0,481.0,,,7247.2,7.08804143126177,425.2824858757062,2025-04-28/2025-05-04
14371553182,2025-05-04 06:55:17,Night Run,6.68,2762,2762.0,2.42,66.0,78.0,466.0,,,6873.4,6.891217564870259,413.4730538922156,2025-04-28/2025-05-04
14372579639,2025-05-04 07:42:55,Morning Run,16.81,6557,6234.0,2.697,133.0,79.0,1152.0,,,17064.2,6.180844735276622,370.8506841165973,2025-04-28/2025-05-04
14388795354,2025-05-05 20:54:47,Afternoon Run,4.27,1853,1805.0,2.369,11.0,79.0,295.0,,,4290.0,7.045277127244341,422.7166276346605,2025-05-05/2025-05-11
14403503271,2025-05-07 09:35:15,Morning Run,8.41,3026,2945.0,2.857,14.0,80.0,549.0,,,8446.9,5.836305984938566,350.1783590963139,2025-05-05/2025-05-11
14424086729,2025-05-09 09:37:19,Morning Run,7.68,3006,2920.0,2.632,20.0,79.0,551.0,,,7733.0,6.336805555555555,380.20833333333337,2025-05-05/2025-05-11
14594928488,2025-05-25 19:27:20,Afternoon Run,15.0,6018,6013.0,2.495,51.0,78.0,1098.0,,,15089.1,6.681111111111111,400.8666666666667,2025-05-19/2025-05-25
14605093754,2025-05-26 21:46:08,Evening Run,8.61,3669,3610.0,2.387,26.0,78.0,664.0,,,8695.6,6.987998451413086,419.2799070847852,2025-05-26/2025-06-01
14618760629,2025-05-28 08:31:19,Morning Run,7.67,2808,2706.0,2.837,2.0,81.0,516.0,,,7684.0,5.880052151238592,352.8031290743155,2025-05-26/2025-06-01
14667495918,2025-06-01 20:36:01,Afternoon Run,15.87,6755,6604.0,2.404,47.0,78.0,1230.0,,,16004.7,6.935517748372191,416.13106490233145,2025-05-26/2025-06-01
14699042179,2025-06-04 21:16:24,Evening Run,12.16,4945,4528.0,2.686,82.0,80.0,905.0,,,12494.1,6.206140350877193,372.36842105263156,2025-06-02/2025-06-08
14721834111,2025-06-07 07:30:55,Morning Run,26.11,9713,9555.0,2.733,104.0,81.0,1771.0,,,26326.1,6.099195710455764,365.9517426273459,2025-06-02/2025-06-08
14763691155,2025-06-11 09:04:26,Morning Run,5.36,2394,1989.0,2.695,22.0,77.0,333.0,,,5443.4,6.184701492537313,371.08208955223876,2025-06-09/2025-06-15
14794624503,2025-06-14 08:04:41,Morning Run,17.02,7244,6824.0,2.495,65.0,78.0,1193.0,,,17203.8,6.682334508421465,400.9400705052879,2025-06-09/2025-06-15
14853363228,2025-06-19 18:38:59,Afternoon Run,8.35,3158,3008.0,2.776,27.0,82.0,593.0,,,8425.6,6.003992015968064,360.23952095808386,2025-06-16/2025-06-22
14869948155,2025-06-21 10:20:23,Morning Run,3.99,1519,1511.0,2.645,25.0,83.0,231.0,,,4057.7,6.311612364243943,378.69674185463657,2025-06-16/2025-06-22
14881522479,2025-06-22 08:56:16,Morning Run,42.81,17403,16961.0,2.524,182.0,82.0,2987.0,,,43224.9,6.603207973214981,396.1924783928988,2025-06-16/2025-06-22
16135943759,2025-10-14 09:42:12,De volta,7.08,2912,2779.0,2.548,64.0,79.0,520.0,,,7160.9,6.541902071563089,392.5141242937853,2025-10-13/2025-10-19
16157952392,2025-10-16 09:46:36,GPS quebrado pra cRalho,5.18,2468,2176.0,2.381,51.0,79.0,392.0,,,5298.2,7.001287001287001,420.0772200772201,2025-10-13/2025-10-19
16185035158,2025-10-18 21:36:13,Encaixou finalmente,10.0,3521,3521.0,2.84,,,885.0,,,,5.868333333333333,352.1,2025-10-13/2025-10-19
