date,activity_id,name,distance_km,elapsed_time_s,moving_time_s,avg_speed_m_s,elevation_gain_m,avg_cadence_spm,calories,training_load,intensity,pace_min_km,pace_sec_km,reference_pace_min_km,load_proxy,acute_load_7d,chronic_load_28d_avg_week,acwr,km_last_7d,km_last_28d,km_last_28d_avg_week,runs_last_28d,longest_run_last_28d,pace_trend_sec_per_week
2024-06-24 20:14:12,11730875995,Afternoon Run,7.11,2701,2684.0,2.651,9.0,78.0,497.0,,,6.291608063759963,377.49648382559775,6.2275797810389,43.82748403940699,228.241128662574,131.40340360418514,1.7369498993350627,36.769999999999996,89.65,22.4125,12.0,15.44,2.0261331728865297
2024-06-26 12:13:21,11744026505,Morning Run,8.38,3001,2935.0,2.858,9.0,78.0,593.0,,,5.83731105807478,350.23866348448684,6.172379761423124,54.69359359245956,239.2105963991353,145.07680200230004,1.6488549037312172,37.85,98.03,24.5075,13.0,15.44,1.6976088014273218
2024-06-28 11:08:10,11758793882,Corrida com gayao,2.82,970,942.0,2.995,2.0,79.0,187.0,,,5.567375886524823,334.0425531914894,6.117179741807348,18.954007470072064,258.1646038692074,149.81530386981805,1.7232191718780574,40.67,100.85000000000001,25.212500000000002,14.0,15.44,1.2058290675094065
2024-06-29 08:36:19,11765788869,Morning Run,16.5,6300,6031.0,2.736,34.0,78.0,1193.0,,,6.0919191919191915,365.5151515151515,6.10454946686327,100.93389781112135,312.02572433140534,175.04877832259837,1.7825072949459344,50.25,117.35000000000001,29.337500000000002,15.0,16.5,1.1635235560206485
2024-07-01 12:13:18,11781819245,Morning Run,6.82,2700,2689.0,2.539,17.0,77.0,499.0,,,6.5713587487781036,394.2815249266862,6.117179741807348,38.83574856777629,257.24473148083626,184.75771546454246,1.3923355289062613,41.63,124.17,31.0425,16.0,16.5,1.4503281147503184
2024-07-03 13:41:06,11798891937,Morning Run,9.12,3553,3453.0,2.642,2.0,78.0,657.0,,,6.31030701754386,378.6184210526316,6.172379761423124,55.06170126704523,213.78535511601493,195.645412862873,1.0927184644285841,35.26,131.56,32.89,16.0,16.5,1.5247916653810742
2024-07-05 10:17:10,11813322775,Morning Run,6.79,2647,2536.0,2.681,9.0,76.0,476.0,,,6.2248404516445754,373.4904270986745,6.226210116341738,42.28526875955775,256.07062387557266,206.21673005276244,1.2417548460304586,42.05,138.35,34.5875,17.0,16.5,1.825788836174361
2024-07-06 11:58:32,11822001917,Morning Run,7.18,2400,2335.0,3.076,8.0,80.0,479.0,,,5.4201485608170845,325.2089136490251,6.2248404516445754,51.329815479041265,187.51253407342054,212.3669662634836,0.8829646972532151,29.91,140.78,35.195,17.0,16.5,1.2900131392984624
2024-07-08 13:29:39,11837893985,Morning Run,7.58,3000,2987.0,2.54,18.0,78.0,553.0,,,6.567722075637643,394.0633245382586,6.2248404516445754,44.7209363570075,193.39772186265176,213.17829364448397,0.9072111356007937,30.669999999999998,140.73000000000002,35.182500000000005,17.0,16.5,2.23459349619916
2024-07-10 18:31:04,11870323699,Afternoon Run,6.6,2400,2339.0,2.824,2.0,79.0,455.0,,,5.9065656565656575,354.39393939393943,6.1583798217818835,42.37813510382965,180.71415569943616,205.38003080437034,0.8799012980554617,28.15,134.03,33.5075,16.0,16.5,1.9972449944744703
2024-07-12 13:14:05,11870325427,Morning Run,8.17,3060,2937.0,2.785,4.0,79.0,576.0,,,5.991432068543452,359.4859241126071,6.0919191919191915,50.6057289080881,189.0346158479665,211.74314394739068,0.8927543641976606,29.529999999999998,137.66000000000003,34.415000000000006,16.0,16.5,1.8378164699527635
2024-07-13 08:16:46,11876035152,Morning Run,17.12,5917,5911.0,2.898,33.0,80.0,1142.0,,,5.754478193146417,345.26869158878503,6.041675630231322,108.59569808268789,297.63031393065444,238.89206846806263,1.24587775491778,46.65,154.78000000000003,38.69500000000001,17.0,17.12,1.544343850352351
2024-07-15 19:02:17,11896552212,Afternoon Run,8.24,3000,2958.0,2.786,6.0,76.0,578.0,,,5.983009708737864,358.9805825242718,5.991432068543452,49.43889818521431,251.01846027981998,221.51863956161876,1.1331708283175665,40.13,142.09,35.5225,16.0,17.12,1.4204740260799633
2024-07-17 12:53:31,11910740025,Morning Run,4.35,1551,1551.0,2.81,2.0,80.0,293.0,,,5.942528735632185,356.55172413793105,5.991432068543452,26.277209628412717,277.2956699082327,217.15691050474737,1.276936889844777,44.480000000000004,139.14,34.785,16.0,17.12,0.5667122191120604
2024-07-19 14:15:12,11927916793,Lunch Run,4.6,1759,1731.0,2.658,7.0,75.0,342.0,,,6.271739130434783,376.304347826087,6.0919191919191915,27.21937278921596,211.5311786855309,212.19355936482052,0.9968784128921142,34.31,136.82000000000002,34.205000000000005,16.0,17.12,0.5474934989633311
2024-07-29 20:58:43,12019004736,Afternoon Run,6.68,2700,2628.0,2.542,8.0,73.0,497.0,,,6.5568862275449105,393.41317365269464,6.2275797810389,39.51094475892546,39.51094475892546,134.35592732975647,0.2940766778524908,6.68,86.43,21.6075,11.0,17.12,0.4904493328365243
2024-08-02 21:02:42,12058085444,Evening Run,6.52,2701,2577.0,2.531,4.0,76.0,500.0,,,6.587423312883437,395.2453987730062,6.2365969080633095,38.49704311285423,78.00798787177969,119.64344560131929,0.6520038559548097,13.2,77.04,19.26,10.0,17.12,1.1546856819751923
2024-08-04 09:25:18,12058974048,Morning Run,12.82,4691,4589.0,2.794,18.0,78.0,914.0,,,5.965938637545502,357.9563182527301,6.2275797810389,83.33891518149389,161.3469030532736,127.64572052693244,1.264021248712607,26.02,82.67999999999999,20.669999999999998,10.0,17.12,0.7750521924005083
2024-08-06 10:58:51,12076559707,Morning Run,10.01,3960,3690.0,2.714,20.0,78.0,715.0,,,6.143856143856144,368.6313686313686,6.226210116341738,63.15977652577931,184.99573482012744,132.2554305691254,1.398776095802255,29.35,85.11,21.2775,10.0,17.12,0.7043449189765305
2024-08-07 11:20:50,12085792401,Morning Run,10.63,3689,3605.0,2.95,12.0,79.0,720.0,,,5.652242082157416,339.1345249294449,6.2248404516445754,72.87338773635815,257.8691225564856,150.47377750321493,1.7137146872715157,39.980000000000004,95.74,23.935,11.0,17.12,0.09935823791112894
2024-08-09 21:08:12,12106265544,Evening Run,6.6,2700,2555.0,2.585,11.0,77.0,492.0,,,6.452020202020202,387.1212121212121,6.226210116341738,39.65479987874313,259.0268793223745,137.14151146992126,1.8887561945763294,40.06,87.57000000000001,21.892500000000002,10.0,17.12,0.43786616468186484
2024-08-10 08:25:51,12109398293,Morning Run,10.9,3930,3874.0,2.814,15.0,80.0,726.0,,,5.92354740061162,355.4128440366972,6.2248404516445754,71.30189609427019,330.3287754166447,127.81806097281684,2.5843669736696753,50.96000000000001,81.35,20.3375,10.0,12.82,0.21171477334304917
2024-08-12 21:34:31,12131752159,Evening Run com Uly miguel e heitor,7.01,3277,2766.0,2.535,7.0,77.0,496.0,,,6.576319543509273,394.5791726105564,6.226210116341738,41.322125851106556,288.3119860862573,125.78886788928989,2.2920310113611033,45.15,80.12,20.03,10.0,12.82,0.5951567715712945
2024-08-14 08:10:55,12143966761,Morning Run,14.03,6724,5195.0,2.701,35.0,80.0,934.0,,,6.171299596103587,370.27797576621526,6.226210116341738,88.13097728969218,313.2831868501702,147.82161221171293,2.1193327698353066,49.17,94.15,23.5375,11.0,14.03,0.44875855529993175
2024-08-16 21:26:20,12165770774,Evening Run,9.08,3660,3600.0,2.523,26.0,78.0,665.0,,,6.607929515418502,396.4757709251101,6.2275797810389,53.29163522938612,254.04663446445502,147.77037541465228,1.7191986807341144,41.02,94.28,23.57,10.0,14.03,0.8157785949626298
2024-08-17 09:13:37,12169157710,Morning Run,12.56,4500,4427.0,2.838,13.0,80.0,864.0,,,5.874469214437367,352.468152866242,6.226210116341738,82.88358980733135,265.6283281775162,168.49127286648513,1.5765108996951067,42.68,106.84,26.71,11.0,14.03,0.5354092949087119
2024-08-19 21:17:53,12190950633,Evening Run,8.63,3026,3000.0,2.878,2.0,79.0,592.0,,,5.793742757821552,347.62456546929315,6.2248404516445754,57.71756971510609,323.3458978926223,182.92066529526164,1.767683806368696,51.31,115.47,28.8675,12.0,14.03,0.2342311336629175
2024-08-23 20:33:03,12224887560,Afternoon Run,5.66,3128,2304.0,2.457,4.0,78.0,415.0,,,6.784452296819787,407.0671378091873,6.226210116341738,32.34068270470457,226.23347745652814,191.0058359714378,1.184432278238651,35.93,121.13,30.2825,13.0,14.03,0.6974520391938521
2024-08-25 08:42:22,12237399828,Morning Run,21.0,7078,7078.0,2.968,96.0,80.0,1508.0,,,5.617460317460318,337.04761904761904,6.226210116341738,144.91950003442295,234.9777524542336,227.23571098004354,1.0340705316114245,35.29,142.13,35.5325,14.0,21.0,0.002136051361850997
2024-08-29 13:08:38,12273084323,Morning Run,8.06,2951,2911.0,2.771,22.0,78.0,595.0,,,6.019437551695615,361.16625310173697,6.2248404516445754,51.88425410583008,229.1444368449576,230.3290383167697,0.9948569165205173,34.72,143.51,35.8775,14.0,21.0,-0.08985839210153115
2024-09-02 20:12:47,12310089421,Afternoon Run,7.49,2784,2700.0,2.776,6.0,78.0,522.0,,,6.008010680907877,360.4806408544726,6.198070023874081,47.892121821704166,99.77637592753425,211.8430791986087,0.470991907335293,15.55,131.66,32.915,13.0,21.0,-0.17739948107725498
2024-09-06 19:43:32,12344123455,Afternoon Run,18.01,7434,6875.0,2.62,22.0,78.0,1309.0,,,6.362206181750878,381.73237090505273,6.198070023874081,108.74741203452184,156.63953385622602,205.0216411417048,0.7640146327185113,25.5,129.03,32.2575,12.0,21.0,-0.33371440364530525
